Start Time,Sample Time,Label,Status,response,Thread Name,data type,success,,Bytes,Sent Bytes,grpThread,allThread,URL,Latency,idle time,Connect Time
1.74847E+12,3531,Corporate,200,OK,Thread Group 1-16,text,TRUE,,432736,139,44,44,https://www.simplilearn.com/corporate-training,1061,0,0
1.74847E+12,15655,Simpli,200,OK,Thread Group 1-46,text,TRUE,,642373,121,43,43,https://www.simplilearn.com/,3856,0,2250
1.74847E+12,7360,Corporate,200,OK,Thread Group 1-11,text,TRUE,,432576,139,43,43,https://www.simplilearn.com/corporate-training,3449,0,0
1.74847E+12,3955,Resource,200,OK,Thread Group 1-26,text,TRUE,,325305,130,42,42,https://www.simplilearn.com/resources,1134,0,0
1.74847E+12,5663,Resource,200,OK,Thread Group 1-27,text,TRUE,,325304,130,42,42,https://www.simplilearn.com/resources,2732,0,0
1.74847E+12,5207,Corporate,200,OK,Thread Group 1-10,text,TRUE,,432576,139,42,42,https://www.simplilearn.com/corporate-training,1445,0,0
1.74847E+12,4673,Resource,200,OK,Thread Group 1-28,text,TRUE,,325304,130,41,41,https://www.simplilearn.com/resources,1028,0,0
1.74847E+12,4571,Resource,200,OK,Thread Group 1-29,text,TRUE,,325305,130,41,41,https://www.simplilearn.com/resources,1414,0,0
1.74847E+12,7117,Corporate,200,OK,Thread Group 1-19,text,TRUE,,432584,139,41,41,https://www.simplilearn.com/corporate-training,1571,0,0
1.74847E+12,3666,Corporate,200,OK,Thread Group 1-48,text,TRUE,,432584,139,40,40,https://www.simplilearn.com/corporate-training,2090,0,0
1.74847E+12,3758,Corporate,200,OK,Thread Group 1-47,text,TRUE,,432576,139,39,39,https://www.simplilearn.com/corporate-training,2158,0,0
1.74847E+12,3708,Corporate,200,OK,Thread Group 1-50,text,TRUE,,432576,139,38,38,https://www.simplilearn.com/corporate-training,2158,0,0
1.74847E+12,7228,Corporate,200,OK,Thread Group 1-21,text,TRUE,,432576,139,37,37,https://www.simplilearn.com/corporate-training,1442,0,0
1.74847E+12,7913,Corporate,200,OK,Thread Group 1-5,text,TRUE,,432585,139,36,36,https://www.simplilearn.com/corporate-training,1605,0,0
1.74847E+12,5418,Resource,200,OK,Thread Group 1-34,text,TRUE,,325329,130,35,35,https://www.simplilearn.com/resources,1897,0,0
1.74847E+12,5271,Resource,200,OK,Thread Group 1-36,text,TRUE,,325305,130,35,35,https://www.simplilearn.com/resources,1960,0,0
1.74847E+12,6558,Corporate,200,OK,Thread Group 1-13,text,TRUE,,432584,139,35,35,https://www.simplilearn.com/corporate-training,1128,0,0
1.74847E+12,3867,Corporate,200,OK,Thread Group 1-49,text,TRUE,,432576,139,34,34,https://www.simplilearn.com/corporate-training,2320,0,0
1.74847E+12,5542,Resource,200,OK,Thread Group 1-31,text,TRUE,,325304,130,33,33,https://www.simplilearn.com/resources,2006,0,0
1.74847E+12,5497,Resource,200,OK,Thread Group 1-35,text,TRUE,,325304,130,33,33,https://www.simplilearn.com/resources,1945,0,0
